Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Recommended_Crop,Chemical/Component,Threshold,Disease,Affected Crops
0,18,14,29.77149434,92.00719952,7.207991261,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,24,14,30.55472573,90.90343769,7.189259647,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
13,23,6,23.96147583,90.26408017,7.365338111,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
21,17,15,23.98289638,91.5473145,7.455991072,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
33,12,8,25.26052689,90.31153735,6.822282114,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
6,9,12,31.08368929,90.14362642,7.028746406,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
19,7,10,14.78003032,91.22062116,6.118430299,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
24,18,6,26.56608303,94.45239715,6.285312759,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
9,11,8,24.85903405,94.39000473,6.559236744,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,8,7,34.51465139,93.63812684,7.163245982,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
22,17,5,24.12188673,90.72351622,6.945562889,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
13,5,8,23.85340379,90.10522549,7.474710503,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
16,8,9,24.60297538,91.28408653,7.601189843,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
4,13,6,15.63211033,94.25966183,7.561143224,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
0,25,14,19.33516809,91.97978938,6.361671475,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,7,10,28.2620488,91.98317355,6.929216014,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,23,5,22.67594476,93.36348717,7.477935216,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
33,14,8,21.03200078,92.9641969,7.684420446,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
30,7,15,33.23453301,91.06053924,7.825531916,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
21,29,12,22.30318989,92.15987039,6.438668989,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
11,14,5,11.50322938,94.8933184,6.946354724,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
9,8,15,14.34320488,94.35734702,7.994465371,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
5,18,14,33.1056981,93.48447453,7.434118807,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
29,25,14,30.49183837,90.4582865,7.781988584,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
33,12,15,30.25578031,92.03272799,6.052318465,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,16,6,12.22816189,90.26457428,7.106650373,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
15,14,8,10.01081312,90.22399223,6.22094286,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
16,7,8,22.79196751,90.60901895,6.420457311,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
0,12,7,20.18432263,90.65458473,6.969249676,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
5,25,6,30.72119881,94.01331956,6.011302181,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
6,8,11,24.35590861,92.39651663,6.600948788,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
10,5,5,21.21306973,91.35349216,7.817846496,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
1,17,6,10.78689755,91.38411917,6.8198271,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
1,30,10,11.89925671,91.34663797,7.291405641,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
0,23,15,22.56664172,93.37488907,7.598729065,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
24,27,9,18.86883219,93.24688124,6.157135092,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
36,11,13,17.34083741,93.04897191,7.1917274,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,21,8,34.90665289,92.87820148,7.418761774,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
40,22,6,24.53610067,91.90997228,6.488221135,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
32,18,13,13.8377282,91.74780462,6.044167236,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
9,10,10,22.3551049,93.52211892,6.010391864,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
13,16,8,34.74004942,93.12316972,6.949838549,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
15,9,11,11.54785707,94.14861001,7.907956251,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
29,11,5,23.13338811,91.94670335,7.639788459,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
1,15,9,29.98364695,94.55239717,7.53350946,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
18,5,11,20.87947369,90.93756231,6.251586885,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
14,22,9,17.24944623,91.13772765,6.543191814,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
33,15,7,15.83388699,91.68293851,7.651225301,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
4,6,7,23.01014302,91.11764246,6.708889665,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
17,16,14,16.39624284,92.18151927,6.625538653,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,20,10,24.45132792,93.10527686,6.528354932,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
34,29,8,31.87859192,91.15248149,6.450640306,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,28,10,31.34920143,91.48247612,7.181907673,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
31,25,12,18.05142392,90.03969587,7.016482298,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
12,6,8,30.84835031,92.86773675,6.388617138,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,29,13,22.45616931,91.52781832,7.57125447,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
26,11,11,13.70319166,90.95589386,7.609348255,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
19,24,15,20.48954522,93.72485075,7.137136973,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
39,21,9,13.20844373,94.02769434,6.354022554,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
16,29,13,32.31944397,93.67804556,6.196907944,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
36,29,13,20.68185224,90.91510525,7.829507245,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
37,23,12,31.52675982,90.50621806,6.395258356,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,9,15,25.35467646,91.81183218,7.992041984,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
31,5,14,17.66545409,91.69865887,6.583411671,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
18,12,8,12.59093977,91.81668769,6.206053072,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,20,10,11.86631922,93.68394562,6.976997772,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
5,8,5,11.03367937,92.22706805,6.562594972,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
20,8,12,25.2990432,94.96419851,7.260416405,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
25,21,11,32.23797837,90.15406807,6.460044778,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
14,19,14,17.68408797,94.35815354,6.699164936,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
37,18,12,10.2708877,90.19147747,7.401121811,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
26,15,6,17.22034507,94.78797376,6.912033409,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
13,22,5,19.667056,90.50096668,7.764040111,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
32,25,9,10.35609594,93.75652041,7.796034006,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
19,7,9,27.255435,91.71369387,6.969883483,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
28,7,9,34.5917846,92.13229786,6.730757538,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
24,30,11,32.39523995,94.51768464,6.601395755,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
7,17,10,10.16431299,91.22320999,6.465913274,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
18,23,8,21.49118657,93.43949693,6.41354791,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
7,20,12,16.53460397,94.76759975,6.475275337,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,23,11,31.8520694,90.12220323,6.407715561,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
18,14,11,28.04799508,90.00621688,6.550814117,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
34,11,10,31.75048899,94.59551226,7.36220835,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
20,29,10,29.07412717,93.27189064,7.36549204,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
37,24,13,19.14381903,90.71037456,7.8546243,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,8,10,16.14820285,91.4448027,7.995848977,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
34,10,14,34.05296914,92.05811721,6.725600855,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
6,13,9,34.51423957,90.56151463,7.786725333,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
27,30,5,32.71748548,90.54608254,7.656978112,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
13,8,12,25.16296632,92.54736032,7.105904818,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
6,7,7,27.68167318,94.47316879,7.199106204,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
40,17,15,21.35093384,90.9492967,7.871063004,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
31,26,9,11.69894639,93.25638873,7.566165721,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
61,68,50,35.21462816,91.49725058,6.793245417,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
58,46,45,42.39413392,90.79028064,6.576261427,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
45,47,55,38.4191628,91.14220381,6.751452932,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,65,53,35.33294932,92.11508608,6.560743093,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
31,68,45,42.92325255,90.07600528,6.938313356,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
70,68,45,33.83508569,92.85470152,6.991626158,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
68,62,50,33.20258348,92.76437927,6.977700268,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,65,47,23.48546973,93.71043692,6.833768535,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
38,68,54,29.33710543,90.81781439,6.739170045,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
69,64,47,40.21199348,94.50766912,6.993473247,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
58,51,47,42.13473976,91.70445386,6.757470637,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
59,47,53,32.86316618,91.4618874,6.850663232,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
44,64,54,29.80744318,91.38048469,6.74274935,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
56,57,48,31.56213762,93.0484859,6.506120752,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
69,60,54,36.32268069,93.06134398,6.98992719,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
56,58,49,37.13165026,94.60761797,6.69215564,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
49,55,53,38.4418717,93.63739039,6.544029776,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
38,51,52,32.66160599,90.78931681,6.927803911,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
54,65,47,27.92765919,91.55594211,6.721835879,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
57,57,51,39.01793345,91.48815629,6.99223441,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
39,52,53,32.51247398,94.65904123,6.704204398,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
58,67,45,38.72382798,91.72514851,6.702424548,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
61,64,52,43.30204933,92.83405443,6.641098708,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
34,62,55,27.58548913,90.72526502,6.585346229,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
31,48,45,40.78881819,92.90951393,6.563134737,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
47,46,52,23.19451074,91.40301608,6.502289473,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
32,68,52,32.68067385,92.61715632,6.800321319,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
36,59,46,34.28879307,93.61082872,6.721130543,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
61,51,51,39.30050027,94.16193416,6.574677594,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
70,54,46,39.73149053,91.12220596,6.919342407,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
44,56,49,39.23342464,91.25589286,6.519779583,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
34,68,51,27.34734861,94.17756725,6.687088098,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
50,59,47,40.76998685,92.09278584,6.747975732,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,70,52,26.26559543,90.79668055,6.65149129,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
34,61,49,28.12971499,93.3210737,6.502675132,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
44,60,55,34.2804607,90.55561637,6.825371185,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
31,62,52,33.7960155,93.00754254,6.99104104,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
65,62,51,31.53243779,90.87394933,6.511624841,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
44,57,53,42.30495821,90.51431779,6.93172108,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
50,47,48,24.63676897,90.61964344,6.712772333,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
43,50,48,28.28222883,91.37059792,6.63016515,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
60,46,53,24.48620746,92.98254537,6.761953186,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
70,68,55,42.84609252,94.63548176,6.691202286,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
59,62,52,43.67549305,93.10887229,6.608667684,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
60,58,51,42.07213781,92.92203105,6.840802254,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
42,60,47,33.46873719,92.12746225,6.834808348,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
35,66,47,31.7018373,91.66232213,6.953439161,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,65,48,41.41968393,90.03863107,6.665024508,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
36,54,46,42.54744013,94.94482086,6.662875839,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,64,52,28.91842453,94.63676767,6.678695788,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
37,52,47,43.08022702,93.90305729,6.54277684,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
33,47,46,29.20300896,93.96834049,6.839443833,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,48,48,41.04224355,91.37258067,6.805277038,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
49,54,50,25.62446619,93.18240298,6.762522087,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,65,49,35.32876402,91.06138506,6.678449318,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
68,52,49,24.42561272,92.27749066,6.577192175,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
50,46,52,31.18298415,90.21646909,6.734005648,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
65,63,50,31.88342554,91.3256535,6.524459342,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
40,49,47,42.93368602,91.1756748,6.501521192,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
42,53,48,23.11407669,94.31994776,6.758479569,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
49,55,51,24.87212063,93.90560147,6.676578778,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
59,62,49,43.36051537,93.35191636,6.941496806,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
63,58,47,26.83054058,90.75379971,6.864143752,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
70,65,52,30.42012134,93.12659793,6.583528529,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
63,50,52,28.64555584,93.22642604,6.751747609,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
40,64,47,32.50037548,93.47888842,6.893509446,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
63,58,50,43.03714283,94.6428898,6.720744449,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
45,58,49,30.10773379,90.34546355,6.827812549,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
66,69,47,23.69212243,93.61055571,6.912299695,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
54,67,52,35.67667332,93.30641944,6.586107335,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
69,67,52,27.71948962,94.43877142,6.827305908,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
67,68,49,35.26824831,92.38282957,6.821774589,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
45,57,47,23.16855863,90.78821158,6.656458831,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
56,50,52,33.08706051,92.25197542,6.770384816,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
70,50,53,37.4620912,90.44967809,6.933809743,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
44,47,45,38.73218907,94.73613484,6.579441304,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
50,60,47,32.57720726,92.74889453,6.92791761,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
52,51,53,38.38231475,93.10378595,6.985804083,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
35,68,45,42.93605359,90.09448142,6.612429546,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
68,69,52,25.65492304,92.74501561,6.813383387,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
32,55,52,37.58899717,91.99740365,6.9677596,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
32,55,51,29.60718808,93.15642801,6.57398033,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
48,62,47,25.34756111,93.02871078,6.803094965,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,69,53,25.9300384,93.02357765,6.964955435,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
49,61,45,32.76795887,94.57377401,6.764213299,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
48,57,54,29.02328049,90.20396783,6.617703178,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
69,66,49,40.00439101,90.17015833,6.52711001,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
53,55,55,33.32315744,91.25271223,6.709668804,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
38,61,52,31.22790131,94.94021378,6.620729882,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
57,64,55,26.68386496,92.9585411,6.583760499,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
51,57,55,24.70528368,90.14732171,6.676407337,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
56,65,45,38.2016825,93.97379963,6.751298936,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
54,66,52,36.56769731,93.79503425,6.867554147,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
58,55,47,26.05375792,93.69111672,6.742490027,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
68,70,54,31.29986342,92.76039164,6.986228647,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
42,59,55,40.10207731,94.35110201,6.979102243,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
43,64,47,38.58954491,91.58076549,6.825664782,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
35,67,49,41.31330062,91.1508798,6.617066674,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
56,59,55,37.03551903,91.79430166,6.551892638,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,64,53,23.0124018,91.07355541,6.598860305,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
18,30,29,26.7627493,92.86056895,6.420018717,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
37,23,28,25.61294367,94.3138837,5.740054567,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
13,28,33,28.130115,95.64807631,5.686972967,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
2,21,35,25.02887163,91.53720922,6.293662363,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
10,18,35,27.79797651,99.64573002,6.381975465,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
7,11,32,29.25902906,95.11294697,5.542169139,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
39,5,31,27.10134661,93.69979946,5.551963184,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,6,27,25.84726298,90.92669463,5.860740481,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
31,30,29,26.58580443,90.98617591,5.558807063,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
25,7,35,28.38503882,99.18843684,5.55771171,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
16,18,26,28.43647052,91.81320717,5.568365926,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
